Ticket_ID,Issue_Resolution,Issue_Category,Issue_Severity,Support_Channel,Building,City,Position,Country,Tenure_Months,Career_Desc,Division
45759, User Education,Apps,Sev2,Email,B0635,Atlanta,Business Operations,US ,222,IC5,D006433
62601, User Education,Apps,Sev2,Chat,B1007,Atlanta,Support Engineering,US ,9,IC3,D006433
24275, User Education,Apps,Sev2,Chat,B1007,Atlanta,Support Engineering,US ,139,IC5,D006433
11667, User Education,Apps,Sev2,Chat,B1007,Atlanta,Support Engineering,US ,46,IC4,D006433
20588, User Education,Apps,Sev2,Email,B0635,Atlanta,Licensing,US ,76,IC4,D006433
64332, User Education,Apps,Sev2,Email,B0635,Atlanta,Licensing,US ,122,IC4,D006433
45432, User Education,Apps,Sev3,Phone,B1007,Atlanta,Support Engineering,US ,89,MGR3,D006433
81158, User Education,Apps,Sev1,Chat,MOBILE,Atlanta,Relationship Management,US ,78,IC4,D006433
63730, User Education,Apps,Sev2,Email,B0635,Atlanta,Licensing,US ,58,IC4,D006433
17683, User Education,Apps,Sev2,Chat,B0635,Atlanta,Relationship Management,US ,130,IC4,D006433
641, User Education,Apps,Sev2,Chat,MOBILE,Atlanta,Relationship Management,US ,5,IC2,D006433
17766, User Education,Apps,Sev2,Phone,B1007,Atlanta,Support Engineering,US ,123,IC4,D006433
32640, User Education,Apps,Sev2,Chat,B0635,Atlanta,Relationship Management,US ,239,IC4,D006433
72779, User Education,Apps,Sev2,Email,B1007,Atlanta,Account Management,US ,24,IC3,D006433
59543, User Education,Apps,Sev1,Chat,B0635,Atlanta,Relationship Management,US ,209,IC4,D006433
31429, User Education,Apps,Sev3,Chat,B0635,Atlanta,Operations,US ,116,IC1,D006433
4381, User Education,Apps,Sev2,Chat,B0635,Atlanta,Relationship Management,US ,297,IC4,D006433
68161, User Education,Apps,Sev2,Phone,B0635,Atlanta,Technical Delivery,US ,200,IC3,D006433
44017, User Education,Apps,Sev2,Email,MOBILE,Atlanta,Technical Delivery,US ,17,IC2,D006433
70006, User Education,Apps,Sev2,Chat,B1007,Atlanta,Support Engineering,US ,207,IC4,D006433
11125, User Education,Apps,Sev3,Chat,MOBILE,Atlanta,Relationship Management,US ,33,IC5,D006433
78690, User Education,Apps,Sev2,Chat,B0635,Atlanta,Technical Delivery,US ,8,IC2,D006433
78230, User Education,Apps,Sev1,Chat,MOBILE,Atlanta,Technical Delivery,US ,10,IC2,D006433
51152, User Education,Apps,Sev3,Chat,B1007,Atlanta,Support Engineering,US ,244,IC5,D006433
50458, User Education,Apps,Sev3,Phone,B1007,Atlanta,Support Engineering,US ,37,MGR3,D006433
32438, User Education,Apps,Sev2,Chat,MOBILE,Atlanta,Technical Delivery,US ,164,IC4,D006433
20882, User Education,Apps,Sev3,Chat,B0635,Atlanta,Relationship Management,US ,239,IC4,D006433
28461, User Education,Apps,Sev2,Email,B0635,Atlanta,Business Operations,US ,221,IC5,D006433
12599, User Education,Apps,Sev1,Chat,B0635,Atlanta,Relationship Management,US ,5,IC2,D006433
23925, User Education,Apps,Sev2,Email,MOBILE,Atlanta,Relationship Management,US ,9,IC4,D006433
74495, User Education,Apps,Sev3,Chat,MOBILE,Atlanta,Relationship Management,US ,7,IC2,D006433
20928, User Education,Apps,Sev2,Phone,B0635,Atlanta,Inside Sales,US ,4,,D006433
67642, User Education,Apps,Sev1,Chat,MOBILE,Atlanta,Support Delivery,US ,281,IC4,D006433
29047, User Education,Apps,Sev3,Email,B1007,Atlanta,Account Management,US ,115,IC4,D006433
78254, User Education,Apps,Sev2,Email,B0635,Atlanta,Relationship Management,US ,212,MGR2,D006433
63492, User Education,Apps,Sev2,Phone,B1007,Atlanta,Support Engineering,US ,125,IC4,D006433
40299, User Education,Apps,Sev2,Chat,B1007,Atlanta,Support Engineering,US ,65,IC4,D006433
69969, User Education,Infrastructure,Sev3,Email,B1007,Atlanta,Account Management,US ,120,IC4,D006433
47918, User Education,Apps,Sev1,Chat,B1007,Atlanta,Support Engineering,US ,82,IC4,D006433
8880, User Education,Apps,Sev1,Phone,B0635,Atlanta,Solution Sales,US ,63,IC5,D006433
412, User Education,Apps,Sev2,Email,MOBILE,Auckland,Business Strategy,NZ ,151,IC5,D018458
52445, User Education,Apps,Sev2,Email,B0658,Auckland,Finance,NZ ,43,IC5,D018458
53552, User Education,Apps,Sev2,Email,MOBILE,Auckland,Sales Leadership,NZ ,25,MGR3,D018458
74272, User Education,Apps,Sev1,Chat,MOBILE,Auckland,Relationship Management,NZ ,61,IC4,D018458
22559, User Education,Apps,Sev2,Email,B0912,Austin,Account Management,US ,41,IC2,D006433
6927, User Education,Apps,Sev2,Email,B0029,Austin,Support Engineering,US ,208,IC5,D006433
60450, User Education,Apps,Sev3,Email,B0029,Austin,Account Management,US ,196,IC4,D006433
62666, User Education,Apps,Sev1,Chat,B0029,Austin,Support Engineering,US ,287,IC5,D006433
57428, User Education,Apps,Sev2,Chat,B0912,Austin,Relationship Management,US ,113,IC3,D006433
28167, User Education,Apps,Sev2,Email,B0912,Austin,Relationship Management,US ,66,IC3,D006433
78362, User Education,Apps,Sev2,Email,B0912,Austin,Solution Sales,US ,226,MGR3,D006433
80503, User Education,Apps,Sev2,Email,B0912,Austin,Relationship Management,US ,31,IC2,D006433
47693, User Education,Apps,Sev3,Chat,B0912,Austin,Operations,US ,117,IC3,D006433
29772, User Education,Apps,Sev2,Email,B0029,Austin,Support Engineering,US ,137,IC5,D006433
56563, User Education,Apps,Sev2,Chat,B0912,Austin,Relationship Management,US ,32,IC2,D006433
81149, User Education,Apps,Sev1,Chat,B0912,Austin,Technical Delivery,US ,217,IC4,D006433
5105, User Education,Apps,Sev3,Chat,B0912,Austin,Support Delivery,US ,17,IC2,D006433
47262, User Education,Apps,Sev2,Chat,B0029,Austin,Support Delivery,US ,10,IC3,D006433
19633, User Education,Apps,Sev1,Chat,MOBILE,Austin,Relationship Management,US ,245,IC4,D006433
19730, User Education,Apps,Sev2,Phone,B0029,Austin,Account Management,US ,218,IC4,D006433
37313, User Education,Apps,Sev2,Email,B0029,Austin,Support Delivery,US ,251,IC5,D006433
10454, User Education,Apps,Sev2,Chat,HOME OFFICE,Austin,Relationship Management,US ,29,IC3,D006433
67891, User Education,Apps,Sev3,Chat,B0029,Austin,Support Engineering,US ,285,IC5,D006433
2178, User Education,Apps,Sev2,Chat,B0912,Austin,Operations,US ,66,IC1,D006433
72316, User Education,Apps,Sev3,Email,B0029,Austin,Business Operations,US ,77,IC4,D006433
15901, User Education,Apps,Sev1,Chat,B0912,Austin,Relationship Management,US ,216,IC4,D006433
51924, User Education,Apps,Sev2,Chat,B0029,Austin,Support Engineering,US ,297,IC5,D006433
60454, User Education,Apps,Sev1,Chat,B0029,Austin,Support Engineering,US ,213,IC5,D006433
7420, User Education,Apps,Sev3,Chat,B0912,Austin,Relationship Management,US ,280,IC4,D006433
45015, User Education,Apps,Sev1,Chat,B0029,Austin,Relationship Management,US ,135,IC4,D006433
56169, User Education,Apps,Sev2,Email,B0912,Austin,Technical Delivery,US ,213,MGR3,D006433
7803, User Education,Apps,Sev2,Chat,MOBILE,Austin,Technical Delivery,US ,311,IC4,D006433
1696, User Education,Apps,Sev2,Chat,B0912,Austin,Relationship Management,US ,18,IC3,D006433
26315, User Education,Apps,Sev3,Chat,MOBILE,Austin,Relationship Management,US ,45,IC2,D006433
50162, User Education,Apps,Sev1,Chat,B0029,Austin,Support Engineering,US ,44,IC4,D006433
16954, User Education,Apps,Sev2,Chat,B0393,Bad Homburg,Relationship Management,DE ,209,IC4,D014045
21069, User Education,Apps,Sev1,Chat,B0393,Bad Homburg,Relationship Management,DE ,209,IC4,D014045
12727, User Education,Apps,Sev3,Email,MOBILE,Baku,Account Management,AZ ,13,IC4,D014974
1617, User Education,Apps,Sev1,Chat,B0102,Bandar Seri,Relationship Management,BN ,12,IC3,D010298
24684, User Education,Apps,Sev2,Email,MOBILE,Bangkok,Account Management,TH ,0,,D014991
39060, User Education,Apps,Sev2,Email,MOBILE,Bangkok,Solution Sales,TH ,9,IC4,D014991
24433, User Education,Apps,Sev2,Email,MOBILE,Bangkok,Relationship Management,TH ,9,IC3,D014991
46524, User Education,Apps,Sev2,Chat,MOBILE,Bangkok,Account Management,TH ,82,IC4,D014991
55417, User Education,Apps,Sev1,Chat,MOBILE,Bangkok,Relationship Management,TH ,202,IC4,D014991
56178, User Education,Apps,Sev2,Email,MOBILE,Barcelona,Relationship Management,ES ,20,IC4,D004024
55374, User Education,Apps,Sev2,Email,MOBILE,Barcelona,Relationship Management,ES ,27,IC3,D004024
52612, User Education,Apps,Sev3,Chat,MOBILE,Barcelona,Technical Delivery,ES ,81,IC4,D004024
33743, User Education,Apps,Sev2,Email,MOBILE,Barueri,Support Delivery,BR ,56,IC3,D007007
17098, User Education,Apps,Sev2,Chat,MOBILE,Barueri,Software Engineering,BR ,0,,D007007
65901, User Education,Apps,Sev1,Chat,MOBILE,Barueri,Technical Delivery,BR ,33,IC5,D007007
79635, User Education,Apps,Sev2,Email,MOBILE,Barueri,Business Operations,BR ,120,IC2,D007007
20540, User Education,Apps,Sev2,Chat,MOBILE,Barueri,Relationship Management,BR ,43,IC3,D007007
70932, User Education,Apps,Sev2,Chat,MOBILE,Barueri,Technical Delivery,BR ,4,IC3,D007007
61897, User Education,Apps,Sev1,Chat,MOBILE,Barueri,Support Delivery,BR ,6,IC3,D007007
4720, User Education,Apps,Sev2,Chat,MOBILE,Barueri,Software Engineering,BR ,0,,D007007
60281, User Education,Apps,Sev1,Chat,MOBILE,Barueri,Support Delivery,BR ,66,IC3,D007007
83117, User Education,Apps,Sev2,Chat,MOBILE,Beijing,Technical Delivery,CN ,227,IC5,D005841
58677, User Education,Apps,Sev1,Email,MOBILE,Beijing,Business Operations,CN ,46,IC4,D005841
21515, User Education,Apps,Sev1,Chat,MOBILE,Beijing,Technical Delivery,CN ,90,IC4,D005841
45202, User Education,Apps,Sev2,Email,MOBILE,Beijing,Marketing,CN ,85,IC5,D005841
55352, User Education,Apps,Sev2,Email,MOBILE,Beijing,Business Operations,CN ,49,IC4,D005841
29018, User Education,Apps,Sev2,Phone,MOBILE,Beijing,Business Operations,CN ,76,IC5,D005841
33350, User Education,Apps,Sev1,Chat,MOBILE,Beijing,Support Delivery,CN ,175,IC5,D005841
26646, User Education,Apps,Sev2,Email,MOBILE,Beijing,Technical Delivery,CN ,85,MGR3,D005841
61812, User Education,Apps,Sev1,Email,MOBILE,Beijing,Business Operations,CN ,48,IC4,D005841
37760, User Education,Apps,Sev2,Chat,MOBILE,Beijing,Relationship Management,CN ,72,IC4,D005841
32997, User Education,Apps,Sev2,Phone,MOBILE,Beijing,Business Operations,CN ,212,IC4,D005841
31557, User Education,Apps,Sev3,Chat,MOBILE,Beijing,Business Operations,CN ,74,IC5,D005841
30239, User Education,Apps,Sev2,Email,MOBILE,Beijing,Technical Delivery,CN ,52,IC4,D005841
23058, User Education,Apps,Sev3,Email,MOBILE,Beijing,Account Management,CN ,12,IC3,D005841
62138, User Education,Apps,Sev2,Email,MOBILE,Beijing,Business Operations,CN ,46,IC4,D005841
45981, User Education,Apps,Sev2,Phone,MOBILE,Beijing,Relationship Management,CN ,218,MGR3,D005841
35864, User Education,Apps,Sev3,Email,B0100,Beijing,Program Management,CN ,110,IC4,D005841
81960, User Education,Apps,Sev2,Email,B0100,Beijing,Business Operations,CN ,80,IC4,D005841
48808, User Education,Apps,Sev2,Email,MOBILE,Beijing,Business Operations,CN ,62,IC4,D005841
43803, User Education,Apps,Sev1,Chat,MOBILE,Beijing,Business Operations,CN ,75,IC5,D005841
76293, User Education,Apps,Sev2,Phone,MOBILE,Beijing,Inside Sales,CN ,5,IC3,D005841
16490, User Education,Apps,Sev1,Chat,MOBILE,Beijing,Business Operations,CN ,4,,D005841
7661, User Education,Apps,Sev2,Email,MOBILE,Beijing,Marketing,CN ,17,IC4,D005841
75764, User Education,Apps,Sev2,Phone,MOBILE,Beijing,Inside Sales,CN ,28,IC3,D005841
27238, User Education,Apps,Sev3,Email,MOBILE,Beijing,Account Management,CN ,55,IC4,D005841
13618, User Education,Apps,Sev2,Phone,B0289,Beijing,Software Engineering,CN ,38,IC3,D005841
29542, User Education,Apps,Sev2,Email,MOBILE,Beijing,Software Engineering,CN ,16,IC3,D005841
2582, User Education,Apps,Sev3,Email,MOBILE,Beijing,Account Management,CN ,64,IC3,D005841
12671, User Education,Apps,Sev1,Chat,MOBILE,Beirut,Relationship Management,LB ,41,IC4,D016983
63340, User Education,Apps,Sev3,Email,B0294,Beirut,Account Management,LB ,0,,D016983
2980, User Education,Apps,Sev2,Email,B0294,Beirut,Account Management,LB ,75,IC4,D016983
65500, User Education,Apps,Sev2,Email,B0399,Belgrade,Business Operations,RS ,171,IC5,D005162
19018, User Education,Apps,Sev2,Email,B0399,Belgrade,Software Engineering,RS ,3,,D005162
69133, User Education,Apps,Sev2,Email,B0399,Belgrade,Account Management,RS ,8,IC4,D005162
19672, User Education,Apps,Sev2,Email,B0399,Belgrade,Software Engineering,RS ,3,,D005162
28957, User Education,Apps,Sev2,Phone,HOME OFFICE,Belleville,Technical Delivery,US ,31,IC3,D006433
70337, User Education,Help,Sev2,Email,B0724,Bellevue,Business Operations,US ,203,IC4,D006433
3129, User Education,Apps,Sev2,Email,B0724,Bellevue,Business Operations,US ,200,IC6,D006433
13452, User Education,Apps,Sev2,Email,B0724,Bellevue,Business Operations,US ,36,IC3,D006433
14664, User Education,Apps,Sev3,Email,B0724,Bellevue,Licensing,US ,164,IC4,D006433
58990, User Education,Apps,Sev2,Phone,B0724,Bellevue,Licensing,US ,69,IC3,D006433
8249, User Education,Apps,Sev2,Email,B0469,Bellevue,Retail,US ,22,IC2,D006433
68028, User Education,Apps,Sev1,Chat,B0724,Bellevue,Relationship Management,US ,39,IC3,D006433
34224, User Education,Apps,Sev3,Email,B0724,Bellevue,Software Engineering,US ,34,EXEC4,D006433
23326, User Education,Apps,Sev1,Chat,B0724,Bellevue,Relationship Management,US ,138,IC3,D006433
15698, User Education,Apps,Sev2,Phone,B0724,Bellevue,Solution Sales,US ,6,IC2,D006433
8528, User Education,Apps,Sev2,Email,B0724,Bellevue,Marketing,US ,17,IC2,D006433
11304, User Education,Apps,Sev3,Email,B0724,Bellevue,Business Operations,US ,115,IC4,D006433
71197, User Education,Apps,Sev2,Email,B0724,Bellevue,Marketing Communications,US ,65,IC4,D006433
73154, User Education,Apps,Sev1,Chat,B0724,Bellevue,Relationship Management,US ,40,IC3,D006433
22059, User Education,Apps,Sev2,Chat,B0724,Bellevue,Relationship Management,US ,66,IC3,D006433
3021, User Education,Apps,Sev2,Email,B0724,Bellevue,Business Operations,US ,50,IC4,D006433
31008, User Education,Apps,Sev2,Phone,B0724,Bellevue,Account Management,US ,25,MGR3,D006433
15681, User Education,Apps,Sev2,Email,B0724,Bellevue,Business Operations,US ,217,IC5,D006433
31752, User Education,Apps,Sev3,Chat,B0724,Bellevue,Relationship Management,US ,35,IC3,D006433
7679, User Education,Apps,Sev2,Email,B0724,Bellevue,Relationship Management,US ,17,IC3,D006433
65349, User Education,Apps,Sev2,Chat,MOBILE,Bellevue-,Technical Delivery,US ,26,IC2,D006433
23500, User Education,Apps,Sev1,Chat,MOBILE,Bellevue-,Relationship Management,US ,308,IC4,D006433
65951, User Education,Apps,Sev1,Chat,B0134,Bellevue-,Relationship Management,US ,64,IC4,D006433
29454, User Education,Apps,Sev1,Email,MOBILE,Bellevue-,Relationship Management,US ,45,IC3,D006433
6031, User Education,Apps,Sev1,Chat,MOBILE,Bellevue-,Relationship Management,US ,317,IC4,D006433
3084, User Education,Apps,Sev1,Chat,B0119,Bentonville,Relationship Management,US ,0,IC3,D006433
53305, User Education,Apps,Sev2,Chat,MOBILE,Berlin,Business Evangelist,DE ,311,IC5,D014045
52882, User Education,Apps,Sev2,Email,MOBILE,Berlin,Sales Leadership,DE ,171,MGR3,D014045
20561, User Education,Apps,Sev2,Email,MOBILE,Berlin,Solution Sales,DE ,19,IC2,D014045
44330, User Education,Apps,Sev1,Chat,MOBILE,Berlin,Support Engineering,DE ,219,IC5,D014045
80833, User Education,Apps,Sev2,Chat,MOBILE,Berlin,Relationship Management,DE ,210,IC4,D014045
38019, User Education,Apps,Sev2,Email,MOBILE,Berlin,Support Engineering,DE ,205,IC4,D014045
17488, User Education,Apps,Sev1,Chat,MOBILE,Berlin,Sales Excellence,DE ,63,IC4,D014045
17654, User Education,Apps,Sev3,Email,MOBILE,Berlin,Technical Delivery,DE ,265,IC5,D014045
32762, User Education,Apps,Sev2,Chat,MOBILE,Berlin,Sales Leadership,DE ,90,MGR4,D014045
9290, User Education,Apps,Sev2,Chat,B1009,Berlin,Sales Leadership,DE ,212,IC4,D014045
50108, User Education,Apps,Sev1,Chat,MOBILE,Berlin,Relationship Management,DE ,240,IC3,D014045
3527, User Education,Apps,Sev2,Email,MOBILE,Berlin,Sales Leadership,DE ,64,IC3,D014045
48462, User Education,Apps,Sev2,Chat,MOBILE,Berlin,Technical Delivery,DE ,66,IC5,D014045
32038, User Education,Apps,Sev2,Chat,MOBILE,Berlin,Business Operations,DE ,326,IC4,D014045
12028, User Education,Apps,Sev2,Chat,MOBILE,Berlin,Relationship Management,DE ,47,IC4,D014045
13391, User Education,Apps,Sev2,Email,MOBILE,Berlin,Account Management,DE ,151,IC4,D014045
7144, User Education,Apps,Sev1,Chat,MOBILE,Berlin,Support Engineering,DE ,207,IC4,D014045
56280, User Education,Apps,Sev1,Chat,MOBILE,Berlin,Relationship Management,DE ,240,IC3,D014045
77304, User Education,Apps,Sev3,Phone,MOBILE,Berlin,Support Engineering,DE ,196,IC4,D014045
31304, User Education,Apps,Sev2,Email,MOBILE,Berlin,Account Management,DE ,305,IC4,D014045
23172, User Education,Apps,Sev2,Email,B1009,Berlin,Marketing,DE ,134,IC5,D014045
15238, User Education,Apps,Sev2,Email,MOBILE,Berlin,Solution Sales,DE ,16,IC2,D014045
12346, User Education,Apps,Sev1,Chat,MOBILE,Berlin,Relationship Management,DE ,299,IC4,D014045
217, User Education,Apps,Sev2,Email,MOBILE,Berlin,Relationship Management,DE ,65,IC3,D014045
45335, User Education,Apps,Sev2,Chat,MOBILE,Berlin,Relationship Management,DE ,38,IC2,D014045
7312, User Education,Apps,Sev2,Email,MOBILE,Berlin,Licensing,DE ,0,IC4,D014045
48226, User Education,Apps,Sev2,Email,MOBILE,Berlin,Account Management,DE ,177,IC3,D014045
51307, User Education,Apps,Sev2,Chat,MOBILE,Berlin,Program Management,DE ,118,IC4,D014045
14581, User Education,Apps,Sev3,Email,MOBILE,Berlin,Technical Delivery,DE ,45,IC4,D014045
37857, User Education,Apps,Sev3,Phone,MOBILE,Berlin,Business Operations,DE ,13,IC3,D014045
55091, User Education,Apps,Sev2,Email,MOBILE,Berlin,Business Operations,DE ,330,IC4,D014045
60978, User Education,Apps,Sev2,Email,MOBILE,Berlin,Relationship Management,DE ,129,IC4,D014045
39004, User Education,Apps,Sev2,Email,B0050,Berlin,Software Engineering,DE ,11,IC3,D014045
6255, User Education,Apps,Sev2,Email,MOBILE,Berlin,Sales Excellence,DE ,214,MGR4,D014045
2738, User Education,Apps,Sev2,Email,MOBILE,Berlin,Sales Excellence,DE ,217,MGR4,D014045
64015, User Education,Apps,Sev2,Email,MOBILE,Berlin,Support Engineering,DE ,293,IC4,D014045
13657, User Education,Apps,Sev2,Chat,MOBILE,Berlin,Relationship Management,DE ,242,IC3,D014045
44233, User Education,Apps,Sev3,Email,MOBILE,Berlin,Account Management,DE ,155,IC4,D014045
9515, User Education,Apps,Sev1,Email,MOBILE,Berlin,Sales Excellence,DE ,17,IC4,D014045
43516, User Education,Apps,Sev1,Chat,MOBILE,Berlin,Relationship Management,DE ,23,IC4,D014045
13642, User Education,Apps,Sev3,Email,MOBILE,Berlin,Licensing,DE ,62,IC4,D014045
33090, User Education,Apps,Sev3,Chat,MOBILE,Berlin,Support Delivery,DE ,55,IC3,D014045
15613, User Education,Apps,Sev2,Email,MOBILE,Berlin,Business Development,DE ,219,IC4,D014045
11842, User Education,Apps,Sev2,Email,MOBILE,Berlin,Business Operations,DE ,203,IC4,D014045
51246, User Education,Apps,Sev1,Email,MOBILE,Berlin,Solution Sales,DE ,61,IC3,D014045
66780, User Education,Apps,Sev2,Email,MOBILE,Berlin,Relationship Management,DE ,19,IC3,D014045
82091, User Education,Apps,Sev2,Email,B0859,Bern,Relationship Management,CH ,10,IC2,D019166
80617, User Education,Apps,Sev1,Chat,MOBILE,Bern,Relationship Management,CH ,51,IC4,D019166
41641, User Education,Apps,Sev2,Email,MOBILE,Bern,Technical Delivery,CH ,201,IC4,D019166
81151, User Education,Apps,Sev2,Email,MOBILE,Bloomington-,Relationship Management,US ,10,IC3,D006433
45073, User Education,Apps,Sev1,Phone,B0904,Boca Raton,Retail,US ,11,IC3,D006433
59733, User Education,Apps,Sev2,Email,MOBILE,Bogota,Account Management,CO ,55,IC5,D016128
65613, User Education,Apps,Sev2,Email,B0424,Bogota,Business Operations,CO ,51,IC4,D016128
40901, User Education,Apps,Sev3,Email,B0424,Bogota,Account Management,CO ,42,IC4,D016128
27192, User Education,Apps,Sev3,Chat,MOBILE,Bogota,Relationship Management,CO ,15,IC2,D016128
41341, User Education,Apps,Sev2,Email,MOBILE,Bogota,Business Operations,CO ,43,IC4,D016128
16073, User Education,Apps,Sev3,Email,B0424,Bogota,Account Management,CO ,40,IC4,D016128
